Relation,Victim Age,Agressor Age,Previous Abuse Report,Living Together,cluster
Family,41-50 years,51-64 years,Unknown,Yes,0
Family,75-84 years,75-84 years,Unknown,Yes,2
Family,21-30 years,Unknown,Unknown,Yes,2
Family,31-40 years,Unknown,Unknown,Yes,2
Stranger,31-40 years,Unknown,Unknown,No,2
Family,31-40 years,51-64 years,Unknown,Yes,0
Family,Unknown,31-40 years,Unknown,Yes,0
Family,31-40 years,31-40 years,Unknown,Yes,1
Family,75-84 years,65-74 years,Unknown,Yes,0
Family,21-30 years,Unknown,Unknown,Yes,2
Family,65-74 years,65-74 years,Unknown,Yes,0
Stranger,21-30 years,31-40 years,Unknown,No,1
Family,31-40 years,51-64 years,Unknown,Yes,0
Stranger,21-30 years,Unknown,Unknown,No,2
Stranger,31-40 years,Unknown,Unknown,No,2
Family,41-50 years,41-50 years,Unknown,Yes,0
Family,65-74 years,65-74 years,Unknown,Yes,0
Family,21-30 years,Unknown,Unknown,Yes,2
Family,21-30 years,21-30 years,Unknown,Yes,1
Family,41-50 years,Unknown,Unknown,Yes,2
Family,Unknown,Unknown,Unknown,Yes,2
Family,31-40 years,31-40 years,Unknown,Yes,1
Family,31-40 years,41-50 years,Unknown,Yes,0
Family,21-30 years,Unknown,Unknown,Yes,2
Family,41-50 years,Unknown,Unknown,Yes,2
Family,31-40 years,Unknown,Unknown,Yes,2
Stranger,41-50 years,Unknown,Unknown,No,2
Family,21-30 years,Unknown,Unknown,Yes,2
Family,31-40 years,Unknown,Unknown,Yes,2
Family,31-40 years,Unknown,Unknown,Yes,2
Family,Unknown,Unknown,Unknown,Yes,2
Stranger,41-50 years,Unknown,Unknown,No,2
Stranger,51-64 years,41-50 years,Unknown,No,0
Family,65-74 years,65-74 years,Unknown,Yes,0
Family,31-40 years,31-40 years,Unknown,Yes,1
Family,31-40 years,Unknown,Unknown,Yes,2
Family,31-40 years,31-40 years,Unknown,Yes,1
Family,41-50 years,Unknown,Unknown,Yes,2
Family,31-40 years,31-40 years,Unknown,Yes,1
Family,21-30 years,Unknown,Unknown,Yes,2
Family,31-40 years,Unknown,Unknown,Yes,2
Family,Unknown,31-40 years,Unknown,Yes,0
Family,Unknown,Unknown,Unknown,Yes,2
Stranger,31-40 years,Unknown,Unknown,No,2
Family,41-50 years,Unknown,Unknown,Yes,2
Family,51-64 years,51-64 years,Unknown,Yes,0
Family,51-64 years,Unknown,Unknown,Yes,2
Family,31-40 years,31-40 years,Unknown,Yes,1
Family,Unknown,Unknown,Unknown,Yes,2
Family,65-74 years,Unknown,Unknown,Yes,2
Stranger,31-40 years,Unknown,Unknown,No,2
Stranger,18-20 years,Unknown,Unknown,No,2
Family,41-50 years,51-64 years,Unknown,Yes,0
Family,>85 years,>85 years,Unknown,Yes,2
Family,41-50 years,41-50 years,Unknown,Yes,0
Stranger,21-30 years,Unknown,Unknown,No,2
Stranger,21-30 years,31-40 years,Unknown,No,1
Family,31-40 years,31-40 years,Unknown,Yes,1
Family,21-30 years,Unknown,Unknown,Yes,2
Stranger,21-30 years,Unknown,Unknown,No,2
Family,41-50 years,51-64 years,Unknown,Yes,0
Family,31-40 years,Unknown,Unknown,Yes,2
Family,31-40 years,41-50 years,Unknown,Yes,0
Family,31-40 years,Unknown,Unknown,Yes,2
Stranger,41-50 years,51-64 years,Unknown,No,0
Stranger,51-64 years,Unknown,Unknown,No,2
Family,41-50 years,41-50 years,Unknown,Yes,0
Family,41-50 years,51-64 years,Unknown,Yes,0
Stranger,31-40 years,41-50 years,Unknown,No,0
Family,21-30 years,41-50 years,Unknown,Yes,1
Family,31-40 years,41-50 years,Unknown,Yes,0
Stranger,31-40 years,41-50 years,Unknown,No,0
Family,75-84 years,75-84 years,Unknown,Yes,2
Family,21-30 years,21-30 years,Unknown,Yes,1
Family,75-84 years,Unknown,Unknown,Yes,2
Family,31-40 years,21-30 years,Unknown,Yes,1
Family,21-30 years,31-40 years,Unknown,Yes,1
Family,31-40 years,31-40 years,Unknown,Yes,1
Family,21-30 years,31-40 years,Unknown,Yes,1
Stranger,31-40 years,31-40 years,Unknown,No,1
Family,41-50 years,Unknown,Unknown,Yes,2
Family,21-30 years,21-30 years,Unknown,Yes,1
Family,51-64 years,65-74 years,Unknown,Yes,0
Family,31-40 years,31-40 years,Unknown,Yes,1
Family,75-84 years,75-84 years,Unknown,Yes,2
Family,21-30 years,31-40 years,Unknown,Yes,1
Family,Unknown,Unknown,Unknown,Yes,2
Stranger,Unknown,41-50 years,Unknown,No,0
Family,41-50 years,41-50 years,Unknown,Yes,0
Family,51-64 years,Unknown,Unknown,Yes,2
Family,18-20 years,21-30 years,Unknown,No,1
Stranger,18-20 years,21-30 years,Unknown,No,1
Family,51-64 years,65-74 years,Unknown,Yes,0
Family,75-84 years,75-84 years,Unknown,Yes,2
Family,21-30 years,Unknown,Unknown,Yes,2
Family,31-40 years,Unknown,Unknown,Yes,2
Family,<16 years,18-20 years,Unknown,No,1
Family,51-64 years,51-64 years,Unknown,Yes,0
Family,41-50 years,Unknown,Unknown,Yes,2
Family,51-64 years,65-74 years,Unknown,Yes,0
Stranger,18-20 years,21-30 years,Unknown,No,1
Family,65-74 years,65-74 years,Unknown,Yes,0
Family,65-74 years,Unknown,Unknown,Yes,2
Stranger,51-64 years,65-74 years,Unknown,No,0
Stranger,31-40 years,41-50 years,Unknown,No,0
Family,31-40 years,31-40 years,Unknown,Yes,1
Family,31-40 years,Unknown,Unknown,Yes,2
Stranger,41-50 years,41-50 years,Unknown,No,0
Family,65-74 years,75-84 years,Unknown,Yes,2
Family,<16 years,18-20 years,Unknown,No,1
Family,31-40 years,31-40 years,Unknown,Yes,1
Stranger,41-50 years,Unknown,Unknown,No,2
Family,31-40 years,31-40 years,Unknown,Yes,1
Stranger,31-40 years,41-50 years,Unknown,No,0
Family,51-64 years,51-64 years,Unknown,Yes,0
Family,31-40 years,Unknown,Unknown,Yes,2
Family,21-30 years,31-40 years,Unknown,No,1
Family,75-84 years,75-84 years,Unknown,Yes,2
Stranger,31-40 years,31-40 years,Unknown,No,1
Family,31-40 years,31-40 years,Unknown,Yes,1
Stranger,Unknown,Unknown,Unknown,No,2
Family,18-20 years,21-30 years,Unknown,Yes,1
Family,>85 years,>85 years,Unknown,Yes,2
Stranger,21-30 years,21-30 years,Unknown,No,1
Stranger,31-40 years,Unknown,Unknown,No,2
Family,31-40 years,21-30 years,Unknown,No,1
Family,51-64 years,51-64 years,Unknown,Yes,0
Family,<16 years,31-40 years,Unknown,No,1
Family,41-50 years,21-30 years,Unknown,Yes,1
Family,41-50 years,41-50 years,Unknown,Yes,0
Family,65-74 years,65-74 years,Unknown,Yes,0
Family,18-20 years,21-30 years,Unknown,Yes,1
Family,51-64 years,Unknown,Unknown,Yes,2
Stranger,41-50 years,Unknown,Unknown,No,2
Stranger,Unknown,16-17 years,Unknown,No,0
Family,Unknown,21-30 years,Unknown,Yes,0
Family,31-40 years,Unknown,Unknown,Yes,2
Family,51-64 years,Unknown,Unknown,Yes,2
Family,75-84 years,75-84 years,Unknown,Yes,2
Family,31-40 years,Unknown,Unknown,No,2
Family,Unknown,Unknown,Unknown,Yes,2
Family,Unknown,Unknown,Unknown,No,2
Family,51-64 years,51-64 years,Unknown,Yes,0
Family,21-30 years,21-30 years,Unknown,Yes,1
Family,75-84 years,Unknown,Unknown,Yes,2
Family,21-30 years,21-30 years,Unknown,No,1
Stranger,51-64 years,51-64 years,Unknown,No,0
Stranger,41-50 years,Unknown,Unknown,No,2
Stranger,31-40 years,Unknown,Unknown,No,2
Stranger,21-30 years,21-30 years,Unknown,No,1
Family,75-84 years,75-84 years,Unknown,Yes,2
Stranger,21-30 years,21-30 years,Unknown,No,1
Family,31-40 years,Unknown,Unknown,Yes,2
Stranger,21-30 years,21-30 years,Unknown,No,1
Family,18-20 years,21-30 years,Unknown,Yes,1
Family,65-74 years,65-74 years,Unknown,Yes,0
Family,Unknown,Unknown,Unknown,Yes,2
Family,21-30 years,21-30 years,Unknown,Yes,1
Family,21-30 years,31-40 years,Unknown,Yes,1
Family,31-40 years,Unknown,Unknown,Yes,2
Family,51-64 years,Unknown,Unknown,Yes,2
Family,31-40 years,31-40 years,Unknown,Yes,1
Family,65-74 years,Unknown,Unknown,Yes,2
Stranger,41-50 years,41-50 years,Unknown,No,0
Family,21-30 years,Unknown,Unknown,No,2
Stranger,21-30 years,31-40 years,Unknown,No,1
Family,41-50 years,41-50 years,Unknown,Yes,0
Family,75-84 years,75-84 years,Unknown,Yes,2
Family,41-50 years,51-64 years,Unknown,Yes,0
Family,65-74 years,Unknown,Unknown,Yes,2
Family,31-40 years,31-40 years,Unknown,Yes,1
Family,31-40 years,31-40 years,Unknown,Yes,1
Family,65-74 years,65-74 years,Unknown,Yes,0
Family,51-64 years,Unknown,Unknown,Yes,2
Stranger,31-40 years,21-30 years,Unknown,No,1
Family,31-40 years,31-40 years,Unknown,Yes,1
Family,21-30 years,21-30 years,Unknown,No,1
Family,41-50 years,31-40 years,Unknown,Yes,0
Family,41-50 years,41-50 years,Unknown,Yes,0
Family,31-40 years,41-50 years,Unknown,Yes,0
Family,Unknown,Unknown,Unknown,Yes,2
Family,21-30 years,21-30 years,Unknown,No,1
Family,18-20 years,Unknown,Unknown,No,2
Family,75-84 years,75-84 years,Unknown,Yes,2
Stranger,31-40 years,41-50 years,Unknown,No,0
Family,16-17 years,31-40 years,Unknown,No,1
Stranger,18-20 years,21-30 years,Unknown,No,1
Stranger,41-50 years,51-64 years,Unknown,No,0
Stranger,41-50 years,41-50 years,Unknown,No,0
Stranger,21-30 years,21-30 years,Unknown,No,1
Family,31-40 years,41-50 years,Unknown,Yes,0
Family,75-84 years,Unknown,Unknown,Yes,2
Family,41-50 years,41-50 years,Unknown,Yes,0
Stranger,21-30 years,Unknown,Unknown,No,2
Family,41-50 years,Unknown,Unknown,Yes,2
Family,31-40 years,41-50 years,Unknown,Yes,0
Family,75-84 years,65-74 years,Unknown,Yes,0
Family,31-40 years,Unknown,Unknown,Yes,2
Family,18-20 years,21-30 years,Unknown,Yes,1
Family,31-40 years,41-50 years,Unknown,Yes,0
Family,41-50 years,31-40 years,No,Yes,0
Stranger,31-40 years,41-50 years,Yes,No,0
Stranger,21-30 years,Unknown,No,No,2
Family,31-40 years,41-50 years,Yes,Yes,0
Stranger,31-40 years,31-40 years,No,No,1
Stranger,21-30 years,41-50 years,No,No,1
Family,31-40 years,31-40 years,No,Yes,1
Stranger,21-30 years,21-30 years,Yes,No,1
Family,31-40 years,31-40 years,Yes,Yes,1
Family,31-40 years,31-40 years,No,Yes,1
Stranger,21-30 years,18-20 years,No,No,1
Family,51-64 years,31-40 years,No,Yes,0
Family,31-40 years,31-40 years,Yes,Yes,1
Family,21-30 years,31-40 years,Yes,Yes,1
Stranger,41-50 years,Unknown,No,No,2
Family,65-74 years,65-74 years,No,Yes,0
Stranger,31-40 years,31-40 years,No,No,1
Family,31-40 years,31-40 years,Yes,Yes,1
Family,31-40 years,31-40 years,Yes,Yes,1
Family,31-40 years,31-40 years,Yes,Yes,1
Family,65-74 years,65-74 years,Yes,Yes,0
Family,51-64 years,65-74 years,No,Yes,0
Stranger,31-40 years,31-40 years,No,No,1
Family,65-74 years,Unknown,No,Yes,2
Family,65-74 years,>85 years,No,Yes,2
Family,31-40 years,31-40 years,No,No,1
Family,41-50 years,51-64 years,No,Yes,0
Stranger,41-50 years,51-64 years,Yes,No,0
Family,31-40 years,31-40 years,Yes,Yes,1
Stranger,31-40 years,21-30 years,No,No,1
Family,31-40 years,51-64 years,No,Yes,0
Family,31-40 years,31-40 years,No,Yes,1
Stranger,31-40 years,Unknown,Yes,No,2
Family,65-74 years,65-74 years,No,Yes,0
Family,41-50 years,41-50 years,No,Yes,0
Stranger,21-30 years,41-50 years,No,No,1
Family,51-64 years,65-74 years,No,Yes,0
Family,21-30 years,Unknown,No,No,2
Family,31-40 years,41-50 years,No,Yes,0
Family,65-74 years,75-84 years,No,Yes,2
Stranger,18-20 years,21-30 years,Yes,No,1
Family,21-30 years,21-30 years,No,Yes,1
Family,41-50 years,31-40 years,No,Yes,0
Stranger,18-20 years,18-20 years,No,No,1
Family,51-64 years,51-64 years,Yes,Yes,0
Family,31-40 years,31-40 years,No,Yes,1
Family,21-30 years,21-30 years,No,Yes,1
Family,21-30 years,21-30 years,Yes,Yes,1
Stranger,31-40 years,21-30 years,No,No,1
Family,31-40 years,31-40 years,No,Yes,1
Family,31-40 years,31-40 years,No,Yes,1
Family,31-40 years,41-50 years,Yes,Yes,0
Family,16-17 years,21-30 years,No,No,1
Family,41-50 years,41-50 years,No,Yes,0
Family,75-84 years,75-84 years,No,Yes,2
Family,31-40 years,41-50 years,No,Yes,0
Family,21-30 years,31-40 years,No,No,1
Family,21-30 years,41-50 years,Yes,No,1
Family,21-30 years,31-40 years,No,Yes,1
Family,65-74 years,75-84 years,No,Yes,2
Family,31-40 years,21-30 years,No,Yes,1
Stranger,41-50 years,41-50 years,Yes,No,0
Family,75-84 years,>85 years,No,Yes,2
Family,21-30 years,18-20 years,No,Yes,1
Family,41-50 years,41-50 years,Yes,Yes,0
Family,75-84 years,>85 years,No,Yes,2
Family,21-30 years,31-40 years,No,No,1
Family,31-40 years,21-30 years,Yes,Yes,1
Stranger,51-64 years,51-64 years,Yes,No,0
Family,31-40 years,31-40 years,Yes,Yes,1
Stranger,31-40 years,41-50 years,No,No,0
Stranger,31-40 years,41-50 years,No,No,0
Stranger,31-40 years,41-50 years,No,No,0
Family,41-50 years,31-40 years,No,Yes,0
Family,31-40 years,31-40 years,Yes,No,1
Family,65-74 years,65-74 years,No,Yes,0
Family,51-64 years,51-64 years,No,Yes,0
Stranger,31-40 years,31-40 years,Yes,No,1
Family,75-84 years,75-84 years,No,Yes,2
Family,21-30 years,21-30 years,No,Yes,1
Family,41-50 years,41-50 years,No,Yes,0
Family,21-30 years,21-30 years,No,Yes,1
Family,31-40 years,31-40 years,Yes,No,1
Family,41-50 years,41-50 years,No,No,0
Stranger,21-30 years,21-30 years,Yes,No,1
Family,31-40 years,41-50 years,Yes,Yes,0
Family,65-74 years,75-84 years,No,Yes,2
Family,31-40 years,41-50 years,No,Yes,0
Stranger,21-30 years,31-40 years,Yes,No,1
Family,21-30 years,31-40 years,No,No,1
Family,21-30 years,21-30 years,No,Yes,1
Family,21-30 years,21-30 years,No,Yes,1
Family,41-50 years,41-50 years,No,Yes,0
Family,75-84 years,75-84 years,No,Yes,2
Family,21-30 years,21-30 years,No,Yes,1
Family,41-50 years,31-40 years,No,Yes,0
Family,21-30 years,31-40 years,No,Yes,1
Stranger,18-20 years,21-30 years,No,No,1
Family,21-30 years,31-40 years,No,No,1
Family,65-74 years,65-74 years,No,Yes,0
Family,75-84 years,65-74 years,Yes,Yes,0
Stranger,51-64 years,51-64 years,No,No,0
Family,21-30 years,21-30 years,Yes,Yes,1
Stranger,41-50 years,31-40 years,Yes,No,0
Stranger,41-50 years,41-50 years,Yes,No,0
Family,65-74 years,65-74 years,No,Yes,0
Family,41-50 years,31-40 years,Yes,Yes,0
Family,31-40 years,41-50 years,Yes,Yes,0
Family,41-50 years,51-64 years,No,Yes,0
Family,21-30 years,31-40 years,Yes,Yes,1
Family,41-50 years,51-64 years,No,Yes,0
Family,75-84 years,65-74 years,No,Yes,0
Family,41-50 years,51-64 years,No,Yes,0
Family,31-40 years,31-40 years,Yes,Yes,1
Family,31-40 years,21-30 years,Yes,Yes,1
Family,41-50 years,65-74 years,Yes,Yes,0
Family,51-64 years,65-74 years,No,Yes,0
Family,51-64 years,51-64 years,No,Yes,0
Family,65-74 years,41-50 years,No,Yes,0
Family,21-30 years,21-30 years,No,Yes,1
Family,41-50 years,41-50 years,No,Yes,0
Family,18-20 years,21-30 years,Yes,Yes,1
Stranger,21-30 years,31-40 years,No,No,1
Family,51-64 years,51-64 years,No,Yes,0
Family,51-64 years,65-74 years,No,Yes,0
Family,21-30 years,21-30 years,No,Yes,1
Family,51-64 years,51-64 years,No,No,0
Stranger,31-40 years,31-40 years,No,No,1
Family,21-30 years,21-30 years,No,No,1
Stranger,31-40 years,31-40 years,No,No,1
Family,51-64 years,51-64 years,No,Yes,0
Family,41-50 years,41-50 years,No,Yes,0
Stranger,31-40 years,31-40 years,No,No,1
Family,75-84 years,75-84 years,Yes,Yes,2
Family,21-30 years,41-50 years,Yes,Yes,1
Family,65-74 years,65-74 years,No,Yes,0
Family,51-64 years,41-50 years,No,No,0
Stranger,21-30 years,21-30 years,Yes,No,1
Family,21-30 years,21-30 years,No,Yes,1
Stranger,41-50 years,31-40 years,No,No,0
Family,41-50 years,51-64 years,No,Yes,0
Family,21-30 years,21-30 years,No,Yes,1
Family,51-64 years,65-74 years,No,Yes,0
Family,21-30 years,21-30 years,No,Yes,1
Family,41-50 years,31-40 years,No,Yes,0
Family,51-64 years,51-64 years,No,Yes,0
Family,18-20 years,21-30 years,No,No,1
Family,41-50 years,51-64 years,Yes,No,0
Family,41-50 years,41-50 years,No,Yes,0
Stranger,51-64 years,51-64 years,No,No,0
Family,41-50 years,41-50 years,Yes,Yes,0
Stranger,41-50 years,51-64 years,Yes,No,0
Family,41-50 years,41-50 years,No,Yes,0
Family,21-30 years,21-30 years,No,Yes,1
Family,41-50 years,41-50 years,No,Yes,0
Family,51-64 years,51-64 years,No,Yes,0
Family,51-64 years,65-74 years,No,No,0
Stranger,21-30 years,21-30 years,No,No,1
Family,41-50 years,41-50 years,Yes,Yes,0
Family,21-30 years,21-30 years,No,Yes,1
Stranger,31-40 years,31-40 years,Yes,No,1
Stranger,18-20 years,31-40 years,Yes,No,1
Family,16-17 years,21-30 years,No,No,1
Stranger,31-40 years,31-40 years,No,No,1
Stranger,65-74 years,75-84 years,Yes,No,2
Family,31-40 years,41-50 years,No,Yes,0
Stranger,31-40 years,31-40 years,No,No,1
Family,75-84 years,75-84 years,No,Yes,2
Family,51-64 years,41-50 years,No,Yes,0
Family,21-30 years,31-40 years,No,Yes,1
Stranger,31-40 years,31-40 years,Yes,No,1
Family,21-30 years,31-40 years,No,Yes,1
Stranger,31-40 years,41-50 years,No,No,0
Family,31-40 years,31-40 years,No,No,1
Stranger,31-40 years,41-50 years,No,No,0
Family,31-40 years,41-50 years,No,Yes,0
Stranger,41-50 years,51-64 years,Yes,No,0
Stranger,21-30 years,41-50 years,Yes,No,1
Family,18-20 years,18-20 years,No,No,1
Stranger,18-20 years,31-40 years,No,No,1
Family,41-50 years,31-40 years,No,Yes,0
Family,21-30 years,41-50 years,No,Yes,1
Family,51-64 years,51-64 years,No,Yes,0
Family,51-64 years,75-84 years,No,Yes,2
Family,65-74 years,65-74 years,No,Yes,0
Stranger,21-30 years,21-30 years,Yes,No,1
Family,21-30 years,31-40 years,No,Yes,1
Stranger,41-50 years,41-50 years,No,No,0
Family,21-30 years,21-30 years,No,No,1
Stranger,41-50 years,41-50 years,No,No,0
Stranger,31-40 years,31-40 years,No,No,1
Family,65-74 years,65-74 years,No,Yes,0
Family,31-40 years,31-40 years,No,No,1
Family,31-40 years,31-40 years,No,No,1
Family,41-50 years,41-50 years,Yes,No,0
Family,21-30 years,41-50 years,No,Yes,1
Family,21-30 years,31-40 years,No,No,1
Stranger,41-50 years,51-64 years,Yes,No,0
Family,21-30 years,31-40 years,No,Yes,1
Family,21-30 years,31-40 years,No,Yes,1
Stranger,41-50 years,31-40 years,No,No,0
Stranger,21-30 years,41-50 years,No,No,1
Family,51-64 years,51-64 years,No,Yes,0
Family,65-74 years,65-74 years,Yes,Yes,0
Stranger,41-50 years,75-84 years,No,No,2
Family,21-30 years,21-30 years,No,No,1
Family,21-30 years,31-40 years,No,Yes,1
Family,65-74 years,75-84 years,Yes,Yes,2
Family,21-30 years,21-30 years,No,No,1
Family,31-40 years,31-40 years,Yes,No,1
Family,51-64 years,51-64 years,Yes,Yes,0
Family,41-50 years,51-64 years,No,Yes,0
Family,31-40 years,21-30 years,Yes,Yes,1
Family,51-64 years,65-74 years,No,Yes,0
Family,41-50 years,41-50 years,No,Yes,0
Family,31-40 years,21-30 years,No,Yes,1
Stranger,51-64 years,65-74 years,No,No,0
Family,31-40 years,31-40 years,No,No,1
Family,21-30 years,21-30 years,Yes,Yes,1
Family,21-30 years,31-40 years,No,No,1
Family,31-40 years,31-40 years,No,No,1
Stranger,31-40 years,41-50 years,No,No,0
Stranger,21-30 years,31-40 years,Yes,No,1
Family,41-50 years,41-50 years,Yes,Yes,0
Family,65-74 years,51-64 years,No,Yes,0
Family,41-50 years,41-50 years,Yes,Yes,0
Family,75-84 years,75-84 years,No,Yes,2
Family,51-64 years,65-74 years,Yes,Yes,0
Family,41-50 years,41-50 years,No,Yes,0
Stranger,31-40 years,31-40 years,Yes,No,1
Stranger,41-50 years,41-50 years,Yes,No,0
Stranger,18-20 years,21-30 years,No,No,1
Stranger,31-40 years,51-64 years,Yes,No,0
Family,18-20 years,21-30 years,No,Yes,1
Family,18-20 years,21-30 years,No,Yes,1
Family,31-40 years,31-40 years,Yes,Yes,1
Family,31-40 years,31-40 years,No,No,1
Family,51-64 years,51-64 years,No,No,0
Stranger,31-40 years,21-30 years,No,No,1
Family,31-40 years,41-50 years,No,Yes,0
Family,21-30 years,21-30 years,Yes,Yes,1
Family,75-84 years,75-84 years,No,Yes,2
Family,51-64 years,51-64 years,No,Yes,0
